name,url,description,started_at,category,city,website,socials,business_id,finder_url
Delicode,https://startup100.net/company/delicode,"Signals is an anonymous, fully GDPR compliant people counting and tracking solution. Signals will help you understand how your customers, across all gender and age groups, use the services and space you provide them with. Signals is able to do real-time occupancy counting, count conversion values from passers-by to those who step in to the store and create real-time reports and push messages based on these events.",2008,SaaS/Business Software,Espoo,http://www.delicode.com,"{'twitter': 'https://www.twitter.com/delicode/', 'facebook': 'https://www.facebook.com/Delicode', 'youtube': 'https://www.youtube.com/channel/UCvyfUEXXVbz2IggeGIO7Gpg'}",,
Delight Packaging,https://startup100.net/company/delight-packaging,"Vuonna 2009 lanseerattu DeLight on palkittu kuitupakkaus, joka yhdistää toisiinsa ympäristöystävällisen kartonkipakkauksen ja suojausominaisuuksistaan tunnetun muovin.

Vuoan valmistuksessa hyödynnetään uutta tuotantotapaa, jonka avulla kartonkipakkaukseen yhdistetään napakka muovikaulus. Näin pakkauksesta saadaan suojakaasutiivis ja myös niin uunin-, mikron- kuin pakastuksenkin kestävä.

Delight is new type of environmentally friendly packaging solution. Compared with traditional plastic packaging materials Delight is recyclable. The product can be recycled and recovered in package recycling schemes.",2013,Other Consumer Technology,Imatra,http://www.delight.fi/en/,"{'facebook': 'https://www.facebook.com/delightpackaging', 'linkedin': 'https://www.linkedin.com/company/10615101'}",,
DelSiTech,https://startup100.net/company/delsitech,DelSiTech is an innovative drug delivery technology company and a developer of supergeneric drug products.,2001,Nanotechnology,Turku,https://www.delsitech.com/,{'facebook': 'https://www.facebook.com/delsitech'},,
De Motu,https://startup100.net/company/de-motu,Based at the Helsinki-Malmi Airport in Finland we’ve designed and built our own lines of aviation inspired pilot instruments and watches.,2014,Fashion & Design Technology,Helsinki,http://www.demotu.fi,"{'twitter': 'https://twitter.com/DeMotuWatches', 'facebook': 'https://www.facebook.com/demotuwatches', 'linkedin': 'http://fi.linkedin.com/company/de-motu'}",,
Dentafit,https://startup100.net/company/dentafit,Suunnittele ja tilaa yksilölliset hammassuojasi täällä. Lajikohtainen suunnittelu sekä design studio joka antaa mahdollisuuden yksilöidä hammassuojat omilla kuvilla ja teksteillä. Koko Suomen kattava skannaus asema verkosto. 100% tyytyväisyystakuu.,2017,"Wellness, Fitness & Sports",Helsinki,https://dentafit.shop/,{},2822320-6,https://www.finder.fi/search?what=2822320-6&type=company
Dental Mammoth,https://startup100.net/company/dental-mammoth,"Dental Mammoth Ltd. supports all dental professionals and students in their clinical work and studies and in finding relevant information easily. We are a specialist organization that was established in 2012. Dental Mammoth exports products and services that have been developed in Finland and used here with great success.
 	
In other markets we cooperate with the best local experts in localizing products and services to meet the local needs perfectly. At the core of the business is publishing, on which many other value-added services are based on.",2012,Health & Medical Technology,Helsinki,https://www.dentalmammoth.com,"{'twitter': 'https://www.twitter.com/dentalmammoth/', 'facebook': 'https://www.facebook.com/dentalmammoth'}",,
DentView Oy,https://startup100.net/company/dentview-oy,DentView mahdollistaa ehkäisevän hoidon kustannustehokkaan skaalauksen organisaatiossa. Ehkäisevän hoidon saavutettavuus paranee ja hoitoa voidaan tarjota kaikille ikä- ja kieliryhmille. Uudet ominaisuudet DentViewPro:ssa tuovat asiakkaan omahoitoraportin hoitohuoneeseen mahdollistaen työajan säästön sekä paremman palvelun. MyDentView kotisovellus aktivoi asiakkaan omassa hoitopolussa personodoiulla omahoito-ohjeilla.,2019,Health & Medical Technology,Kempele,https://dentview.fi/,{'facebook': 'https://www.facebook.com/dentviewofficial'},3101510-9,https://www.finder.fi/search?what=3101510-9&type=company
Dermeco,https://startup100.net/company/dermeco,Finnish startup producing eco-friendly wound care products,,,,https://www.dermeco.fi/,{},3101204-7,https://www.finder.fi/search?what=3101204-7&type=company
Desentum,https://startup100.net/company/desentum,"Desentum is a research-oriented biopharmaceutical company specialized in developing novel types of allergy immunotherapy products (aka allergy vaccines) that are based on switching the immune system's response to allergens from hypersensitivity to tolerance. We have a unique approach for designing allergy vaccines. By studying the molecular mechanism of the hypersensitivity reaction, we have made discoveries that allow for improved design of vaccines against common types of allergies. 

Our goal is to provide long-term relief from allergic symptoms with only a few months of treatment, as well as reduce the social and economic burden allergies cause to both individuals and society. We are currently preparing for clinical trials with our first product candidate.",2011,Health & Medical Technology,Espoo,http://www.desentum.fi/en/,"{'twitter': 'https://www.twitter.com/desentumAIT/', 'facebook': 'https://www.facebook.com/Desentum', 'linkedin': 'https://www.linkedin.com/company/5419925'}",,
DeskMe,https://startup100.net/company/deskme,"Reserve a desk at your own office - or in the external office network, using an IoT-enabled real-time 3D map! DeskMe is an app that allows organizations to implement easy people-friendly hot-desking practices. It allows users to see their office map with real-time desk availability statuses and the possibility to make a reservation. When an own office is fully booked - or simply for convenience - users are able to reserve a desk in an external network of office locations, members of DeskMe Portal. 

The idea originated from real problems the founders experienced - from the difficulty of finding a free desk or locating a colleague in the hot-desking environment to the challenge of booking a conference room in an unfamiliar city. 

DeskMe, Inc.",2017,SaaS/Business Software,Porvoo,https://www.deskme.com,"{'twitter': 'https://www.twitter.com/deskmecom/', 'facebook': 'https://www.facebook.com/DeskMe', 'linkedin': 'https://www.linkedin.com/company/16172995'}",2849031-2,https://www.finder.fi/search?what=2849031-2&type=company
Devea Software,https://startup100.net/company/devea-software,Uusi Maksukykyluokitus on avain tuottavampaan markkinointiin,2014,SaaS/Business Software,Tampere,https://devea.ai/,"{'twitter': 'https://twitter.com/deveasoftware', 'facebook': 'https://www.facebook.com/deveasoftware', 'linkedin': 'https://www.linkedin.com/company-beta/3999495/'}",,
Deveteam,https://startup100.net/company/deveteam,"Olemme Sovelluskehittäjät. Ketterä ja kokenut kumppani, joka hallitsee koko sovelluskehityksen polun suunnittelusta toteutukseen luotettavasti ja ratkaisukeskeisesti. Tarjoamme sovelluskehityspalveluita ja omiin Celesta-tuotteisiimme perustuvia ratkaisuja. 

Sovelluskehityspalveluihimme kuuluvat sekä asiakkaan tarpeeseen toteutetut ohjelmistoratkaisut ketterin menetelmin että sovelluskehittäjiemme toimiminen osana asiakkaan projektitiimiä asiakkaan tiloissa. 

Palveluihimme kuuluvat myös omiin Celesta-ohjelmistotuotteisiimme perustuvat mobiili/WEB-ratkaisut logistiikkaan, valmistavalle teollisuudelle ja kaupan alalle,  AI -ratkaisut, IoT-järjestelmät tuotannon tehostamiseen sekä RFID- ja viivakoodi -ratkaisut seurattavuuden parantamiseksi. 

Sovelluskehittäjät Ryhmä koostuu kolmesta oululaisesta ohjelmistoyrityksestä: Identoi Oy:stä, Deveteam Oy:stä sekä Isoft.ai Oy:stä.


We are Sovelluskehittäjät Group. An agile and experienced partner, covering the entire application development path from design to implementation, in a reliable and solution-driven way. 

Our services include mobile and WEB solutions based on our own Celesta products for logistics, manufacturing and retail, AI solutions, such as different chat bots and voice solutions, and advanced IoT systems for more efficient production. Our customer-driven consultation service helps your company to innovate, create and deploy new solutions and services quickly and effectively.",2012,SaaS/Business Software,Oulu,http://www2.deveteam.com/,"{'twitter': 'https://www.twitter.com/HubSpot/', 'facebook': 'https://www.facebook.com/sovelluskehittajat', 'linkedin': 'https://www.linkedin.com/company/deveteam-oy'}",,
DeviLabs,https://startup100.net/company/devilabs,"Tech Enthusiast has been delivering highly demanding enterprise Tech sales enablement trainings with exceptional feedback and measurable business benefits for over 15 years on 4 continents and 30 countries including United Kingdom, Singapore, Hong Kong, Egypt, Australia, New Zealand and Scandinavian/Baltic countries, as well as virtually using popular Lightboarding LIVE delivery methods.

Tech Enthusiast YouTube channel has been growing fast after its release in April 2019. The channel has well over 10,000 subscribers and for example  with search keywords “Hyperconvergence”, “SimpliVity”, “GreenLake”, “InfoSight” and “HPE Alletra” Tech Enthusiast videos are currently #1 in YouTube.

https://www.youtube.com/techenthusiastinc",2013,SaaS/Business Software,Raisio,https://devilabs.com/,"{'twitter': 'https://www.twitter.com/markusleinonen/', 'facebook': 'https://www.facebook.com/All-about-Enterprise-IT-with-Markus-Leinonen-113676626733230', 'linkedin': 'https://www.linkedin.com/company/devilabs'}",,
Dexmen,https://startup100.net/company/dexmen,"We are a state-of-art company offering end-to-end solutions for production monitoring, condition monitoring and predictive maintenance.",2014,SaaS/Business Software,Tampere,http://www.dexmen.com/,"{'twitter': 'https://www.twitter.com/DexmenCom/', 'facebook': 'https://www.facebook.com/dexmenoy', 'linkedin': 'https://www.linkedin.com/company/15189268'}",,
Dexude,https://startup100.net/company/dexude,Connecting talents to global tech opportunities.,2023,Education Technology,Espoo,https://dexude.com/,"{'twitter': 'https://www.twitter.com/dexudetech/', 'facebook': 'https://www.facebook.com/dexudetech'}",3367382-6,https://www.finder.fi/search?what=3367382-6&type=company
Diafree,https://startup100.net/company/diafree,"Löydämme juuri sinulle sopivat ratkaisut terveyteen, painonhallintaan, mielen hyvinvointiin ja elintapasairauksien hoitoon. Toivottomia tapauksia ei ole – keinoja löytyy aina. Jakob Valdma on elintapahoitoon, ravitsemukseen ja painonhallintaan erikoistunut lääkäri, tietokirjailija ja valmentaja, jolla on yli 10 vuoden kokemus alalla.  Tutustu ohjelmiin Asiakkaat kertovat Asiakkaiden kokemuksia “Vuosia olen kuunnellut lääkärien arvostelua ja lääkkeiden lisäämistä. Valmennus pelasti […]",,,,https://www.diafree.fi/,"{'twitter': 'https://www.twitter.com/jakobvaldma/', 'facebook': 'https://www.facebook.com/profile.php'}",2778918-7,https://www.finder.fi/search?what=2778918-7&type=company
DiagFactor,https://startup100.net/company/diagfactor,"DiagFactor Oy is the first Finnish digital genomic health service company with e-commerce store. We provide all kinds of genetic services for consumers, corporations, biobanks (FINBB), pharmacies and local pharma companies.

 DiagFactor offers a totally new dimension to corporate wellness - DNA-based corporate wellness program: Genetic testing for an effective wellness plan to deliver less sick days. The program consists of genomic reports, genetic counseling and mental training which altogether provide actionable insights to the company employees not only to better manage their sleep, diet and fitness, but also to think differently about their daily lifestyle.

Moreover, DiagFactor is among the forerunner companies to build direct to consumers (DTC) genetic services: We provide a comprehensive set of consumer DNA-tests. Moreover, before and after DNA-tests, genetic counseling is provided via online chatting & video calls. Thus, we help our customers to understand and transform their genetic testing results into informed wellbeing & health decisions. Supportive mental training and online wellness tools help customers carry out meaningful actions in daily life, and thereby empower their everyday mental wellbeing, recovery, sleep, nutrition, fitness and medication.

In addition, DiagFactor provides pharmacogenetic interpretation services for pharmacies. For local big pharma companies, genomic data education services are offered to help their key customers - physicians - understand and make use of patients'​ genomic data in their relevant healthcare decisions. For biobanks (FINBB), we provide research activities and genetic interpretation services on unexpected results such as single genetic variants of known clinical significance.

Our promise is: Personalized Wellness through Genomic Information",2015,Health & Medical Technology,Hanko,https://diagfactor.com/,"{'twitter': 'https://www.twitter.com/diagfactor/', 'facebook': 'https://www.facebook.com/DiagFactor', 'linkedin': 'http://www.linkedin.com/DiagFactor'}",2712638-3,https://www.finder.fi/search?what=2712638-3&type=company
Diamondtrap,https://startup100.net/company/diamondtrap,,2020,Other Consumer Technology,Kirkkonummi,https://diamondtrap.com/,{},3172090-8,https://www.finder.fi/search?what=3172090-8&type=company
DieNo Games,https://startup100.net/company/dieno-games,Get in touch with us!  contact@dienogames.com  firstname.lastname@dienogames.com,2017,Gaming,Vantaa,https://dienogames.com/,"{'twitter': 'https://twitter.com/DienoGames', 'facebook': 'https://www.facebook.com/DieNoGames'}",2850778-6,https://www.finder.fi/search?what=2850778-6&type=company
Digital Identity Solutions Europe,https://startup100.net/company/digital-identity-solutions-europe,,2005,SaaS/Business Software,Helsinki,http://www.digital-identity.com/en/,"{'twitter': 'https://twitter.com/DISEglobal', 'facebook': 'https://www.facebook.com/DISEOY', 'linkedin': 'http://www.linkedin.com/company/dise--digital-identity-solutions-europe'}",,
Digital Minds,https://startup100.net/company/wwwdigitalmindsfi,"I'm interested in the strategic aspects of managing people and developing organisations. I work best and stand out positively in complex environments with high analytical workload. I'm very ambitious and always interested in new challenges that take my professional skills and self-leadership ability to the next level. My neverending quest is to find new and smart ways of working that deliver great results.

My skills and input will probably be most useful in leading experts, talent strategy, digital psychometrics, organisational design, process development, project management, people analytics, behavioral modeling, vendor management and operational leadership. Although I currently work in HR, I don't consider myself a ""HR person"", but rather a versatile and analytical business generalist with broad interests and a modern skill set.",,,,https://www.digitalminds.fi/,"{'twitter': 'https://www.twitter.com/juhotoivola/', 'facebook': 'https://www.facebook.com/juho.toivola'}",2849674-9,https://www.finder.fi/search?what=2849674-9&type=company
Digital Workforce,https://startup100.net/company/digital-workforce,"Digital Workforce is the leading and fastest growing company specializing purely in Intelligent Automation services on an industrial scale. We automate the routines of computer based knowledge work and free up human employees'​ time for more productive and valuable tasks. The deployment of digital workers requires no changes to the existing information systems. Digital Workforce was founded in the summer of 2015 and it currently employs over 240 IA specialists in the US, UK, Finland, Sweden, Norway, Denmark and Poland.

Digital Workforce offers a range of services and tools to support organizations in their robotics journey. Our services include Robot as a Service from the private cloud or Azure environment and Robotics Consulting. Our services make it possible to achieve tangible results from Intelligent Automation rapidly.

A Digital Worker automates existing rule- and role-based manual user tasks and processes. The operation cost is 1/10 of traditional IT projects, both in terms of time and money. Digital Workforce is your opportunity to be 10 times more efficient.",2015,SaaS/Business Software,Helsinki,http://digitalworkforce.fi/en/,"{'twitter': 'https://twitter.com/digiworkforce', 'facebook': 'https://www.facebook.com/digitalworkforcenordic', 'linkedin': 'https://www.linkedin.com/company/digital-workforce-nordic-oy'}",2704792-5,https://www.finder.fi/search?what=2704792-5&type=company
Digizen,https://startup100.net/company/digizen,,2018,Other Consumer Software & Apps,Helsinki,https://digizen.id/,{},2950429-6,https://www.finder.fi/search?what=2950429-6&type=company
Diktamen,https://startup100.net/company/diktamen,"Diktamen Oy on johtava suomalainen potilasdokumentointia nopeuttavan SaaS-ratkaisun ja sanelunpurkupalvelun tarjoaja. Kokenut henkilöstömme    sekä uudet innovatiiviset menetelmät ovat avainasemassa palveluidemme kehittämisessä. Diktamen-palvelut on kehitetty yhteistyössä Suomen suurimpien sairaanhoitopiirien, kuntien ja johtavien terveyspalveluyritysten kanssa. Palveluitamme hyödyntää Suomessa ja kansainvälisesti jo yli 250 asiakastoimipistettä ja yli 19 000 käyttäjää päivittäin. Diktamenille on myönnetty Great Place to Work® -sertifikaatti tunnustuksena erinomaisesta työntekijäkokemuksesta sekä Hyvän mielen työpaikka -merkki osoituksena työntekijöiden mielenterveyden tukemisesta.",2007,SaaS/Business Software,Helsinki,https://www.diktamen.com,"{'twitter': 'https://twitter.com/diktamen', 'facebook': 'https://www.facebook.com/Diktamen', 'linkedin': 'http://www.linkedin.com/company/diktamen-oy'}",,
DineAway,https://startup100.net/company/dineaway,"rinneco.com is your first and best source for all of the information you’re looking for. From general topics to more of what you would expect to find here, rinneco.com has it all. We hope you find what you are searching for!",2017,Other Consumer Technology,Hanko pohjoinen,https://dineaway.co,"{'twitter': 'https://twitter.com/DineAway_Tweets', 'facebook': 'https://www.facebook.com/dineaway'}",2786728-8,https://www.finder.fi/search?what=2786728-8&type=company
Diory,https://startup100.net/company/diory,Bring all kinds of information togetherVisual and interactive  experience Get a hold of your life in the cloud,2013,Other Consumer Software & Apps,Kangasala,http://www.diory.me/,{'twitter': 'https://twitter.com/diory_me'},,
Dipsy,https://startup100.net/company/dipsy,Mental wellbeing solution tailored to your needs,,,,https://dipsy.fi,{},3287387-7,https://www.finder.fi/search?what=3287387-7&type=company
Direlight,https://startup100.net/company/direlight,"Independent game studio from Finland. Our debut title: Grimvalor https://t.co/XzqnJ1ErVg now available on the App Store, Google Play and Nintendo Switch.",2013,Gaming,Jyväskylä,https://direlight.com/,"{'twitter': 'https://www.twitter.com/DirelightGames/', 'facebook': 'https://www.facebook.com/DirelightGames'}",,
Dirica,https://startup100.net/company/dirica,Dirica concentrates on offering online motoring services to consumers.,2013,Hardware & Devices,Espoo,http://www.dirica.com/en/,"{'twitter': 'https://twitter.com/diricahq', 'facebook': 'https://www.facebook.com/Dirica.fi', 'linkedin': 'https://www.linkedin.com/company/dirica-group-oy'}",,
Dispelix,https://startup100.net/company/dispelix,"Dispelix is leading a technological revolution. We believe in the power of simplicity as the driving force of the next computing paradigm. We are here to realize the future, faster, with the best team possible in the field of extended reality waveguide technology.

We are driven by our vision to create the best possible waveguides for XR glasses. And to make them undistinguishable from ordinary glasses. We help create a world where technology does not look like technology. Where complexity is replaced by simplicity. Where unnecessary physical products, interfaces and advanced technologies become invisible and available for everyone – through our waveguides.",2015,Nanotechnology,Espoo,http://dispelix.com/,"{'twitter': 'https://www.twitter.com/dispelix', 'facebook': 'https://www.facebook.com/DispelixOy', 'linkedin': 'https://www.linkedin.com/company/12620179'}",2716011-9,https://www.finder.fi/search?what=2716011-9&type=company
Distance Technologies,https://startup100.net/company/distance-solutions,,2023,Augmented & Virtual Reality,Helsinki,https://distance.tech/,{},3410188-9,https://www.finder.fi/search?what=3410188-9&type=company
Distence,https://startup100.net/company/distence,"Distence specializes in making industrial assets intelligent with edge-computing and distributed intelligence, and in connecting the devices and machines to business processes. With the help of our service offering and industry proven technologies, we supply a digital information pipeline between remote assets and business processes. With our proven solutions, our customers benefit from a reliable solution, faster time to market and a lower technology risk in accessing the internet of machines.",,,,https://www.distence.fi/en/,"{'twitter': 'https://www.twitter.com/distenceoy/', 'facebook': 'https://www.facebook.com/DistenceOy', 'linkedin': 'https://www.linkedin.com/company/oliotalo-oy'}",,
DJ Online,https://startup100.net/company/dj-online,"DjOnline StreamFactory on suomalainen taustamusiikkipalvelu, joka varmistaa uniikin musiikkitunnelman jokaiseen tilaan. Musiikin ja tunnelman takana on aina äänisuunnittelija, joka suunnittelee musiikin tyylin ja jota patentoitu teknologia palvelee. Tämä tarkoittaa dynaamisia soittolistoja ja jatkuvasti vaihtelevaa musiikkia suunnitellun tunnelman sisällä, ainoastaan play-nappia painamalla.",,,,http://www.djonline.fi,{'facebook': 'https://www.facebook.com/djonlinemedia'},,
Dobbelgänger,https://startup100.net/company/dobbelganger,,2022,Military & Dual-Use,Oulu,https://dobbelganger.fi/,{},3317524-5,https://www.finder.fi/search?what=3317524-5&type=company
Docue,https://startup100.net/company/sopimustieto,"Docue Technologies is a legal tech company founded in 2015, headquartered in Helsinki. Our offices are also located in Oulu and Stockholm.

Docue is on a mission to democratize law with its digital legal services. On docue.com, we offer dynamic document creation platform, document archiving and e-signing as well as lawyers advice in case of need. In our world, neither lawyers’ or customers’ time is wasted on burdensome, manual work that can be automated.

More than 30,000 companies have already used Docue, from small start-ups to publicly listed companies. Our vision is to become the most recommended digital legal service globally.",2015,SaaS/Business Software,Helsinki,https://docue.com/,"{'twitter': 'https://www.twitter.com/DocueCom/', 'facebook': 'https://www.facebook.com/Docue.uk', 'linkedin': 'https://www.linkedin.com/company/7969302'}",2724469-7,https://www.finder.fi/search?what=2724469-7&type=company
Dodreams,https://startup100.net/company/dodreams,"Dodreams is the maker of the Drive Ahead! brand - the best way to to play, share and watch fun games. With a perfect mix of surprising, crazy fun and casual competitive skill gaming, our vision is to be the #1 choice for action, racing and sports genre fans. We offer as an employer a unique opportunity to work with a large and active community of highly engaged players. We make updates and publish new titles with the support of our fan base of millions of monthly active users. 

As a studio we build the Drive Ahead! Brand by creating games that are social through online multiplayer gaming & video streaming as well as highly engaging through live-ops. We continue to enhance the social experience of our games by expanding to new platforms and technologies such as AR. So this is your chance to work with games in the fastest growing areas of the industry.

Dodreams is a growth company made of self-organizing, small and effective teams. Our 20+ employee team is based in Helsinki, Finland. We combine the best parts of a startup and established company. Founded in 2008, we have strong financial standing and also grow fast with the Drive Ahead! Family of Games. We're now seeking talent for several positions, where you can play a key role in creating the player experience for the portfolio. 

Check out our games on the App Store (http://bit.ly/DdAppSt) and Google Play Store (http://bit.ly/DdGglPl)",2008,Gaming,Helsinki,http://www.dodreams.com/,"{'twitter': 'https://twitter.com/dodreamsgames', 'facebook': 'https://www.facebook.com/about', 'linkedin': 'http://www.linkedin.com/company/811588', 'youtube': 'https://www.youtube.com/user/DodreamsGames'}",,
Do Good Brew co.,https://startup100.net/company/do-good-brew-company-oy,We are on the mission to do good beer with society and environment in mind.,2019,Other Consumer Technology,Espoo,http://www.dogoodbrew.fi,{},2992670-4,https://www.finder.fi/search?what=2992670-4&type=company
Dogs First,https://startup100.net/company/dogs-first,Tutustu laajaan valikoimaan toimistotarvikkeita ja -laitteita verkkosivustollamme. Paranna tehokkuuttasi ja työskentele mukavammin kutakin tarpeitasi varten.,2013,Other Consumer Technology,Kempele,http://www.dogsfirst.fi/,"{'twitter': 'https://twitter.com/dogsfirstfin', 'facebook': 'https://www.facebook.com/DogsFirst.fi'}",,
Dokport,https://startup100.net/company/dokport,Lääkärin chat-etävastaanoton omavastuuhinta 0 € Kela-korvauksen jälkeen. Ei piilokuluja.,2023,Health & Medical Technology,Helsinki,https://www.dokport.com/,{'facebook': 'https://www.facebook.com/profile.php'},3382288-7,https://www.finder.fi/search?what=3382288-7&type=company
Dolea,https://startup100.net/company/dolea,"Dolea Ltd. contributes to global circular economy by producing sustainable drinking straws that have a touch and feel second to none.
Dolea drinking straws are recyclable, repulpable and safe to use. 
Heat sealed, zero glue Dolea straws feature a single seam along the the straw giving you an even flow of your drink with no melting glue in your mouth. 
Dolea straws transform drinking straw production and consumption from linear to circular economy, a disruption on a global scale.",2019,Other Consumer Technology,Espoo,https://www.doleastraw.com/,"{'twitter': 'https://twitter.com/doleastraw', 'facebook': 'https://www.facebook.com/doleastraws', 'linkedin': 'https://www.linkedin.com/company/13999558'}",2973619-3,https://www.finder.fi/search?what=2973619-3&type=company
Done,https://startup100.net/company/done-technologies-oy,"Buy services. Sell services. We bring you a platform to connect. 

Done revolutionizes the way local services are bought and sold by unlocking local potential, empowering connections, and simplifying transactions. We have developed an application that makes buying and selling local services extremely easy.",2022,Marketplaces,Vaasa,http://www.doneapp.fi,{},3258550-9,https://www.finder.fi/search?what=3258550-9&type=company
Dooap,https://startup100.net/company/dooap,"Dooap is an accounts payable automation solution for Microsoft Dynamics 365 Finance. As experts both in Microsoft Dynamics ERP and the invoice-to-payment process, we decided to develop the Dooap AP automation solution as Microsoft made its move to the cloud.

Our mission: provide an AP automation solution that offers AP professionals and business users an excellent user experience, saves time and money and makes AP fun and easy. The result – happy and supported customers that enjoy working with us!

We’re continually evolving to ensure we offer the most purposeful AP automation solution for Microsoft D365 Finance. We focus on user experience and intuitive features that benefit business users and AP teams. With advancements like machine learning, we always offer our clients beneficial and state-of-the-art features. With us, your AP process continuously improves and stays on par with the most recent technological advances.

To serve our clients best, we’ve assembled a group of skillful and motivated employees with versatile backgrounds working from a variety of different places – from Austin, TX to Helsinki, Finland. Customer happiness is our team’s number one priority. We’re always eager to support clients on their path to AP automation...and our clients notice!",2021,Finance Technology,Tampere,https://www.dooap.com/,"{'twitter': 'https://www.twitter.com/dooapax/', 'facebook': 'https://www.facebook.com/dooapAX'}",3207965-7,https://www.finder.fi/search?what=3207965-7&type=company
Dottli,https://startup100.net/company/dottli,"Dottli is the only multichannel messenger that helps you manage and track your health better by securely storing, sharing, discussing, analyzing and monitoring your health data in real-time. Diabetes is our first area of focus and other areas will soon go live.

Available on Android, Iphone and for use with any browser.",2023,Health & Medical Technology,Espoo,http://dottli.com/,"{'twitter': 'https://twitter.com/DottliHealth', 'facebook': 'https://www.facebook.com/dottlidiabetes', 'linkedin': 'https://www.linkedin.com/company/10785031', 'youtube': 'https://www.youtube.com/channel/UCTeAh5tn7qu5GRzIhEWIneQ'}",,
Douplepoint,https://startup100.net/company/port-6,"Doublepoint is a touch interface company. We enable upcoming computing platforms with intuitive, robust, and versatile touch-based interactions. Our first product is a machine learning algorithm that detects microgestures using smartwatch sensors and compute (prev. Port 6).",2020,SaaS/Software Development & Ops,Helsinki,https://www.doublepoint.com/,"{'twitter': 'https://www.twitter.com/doublepointlab/', 'facebook': 'https://www.facebook.com/doublepointlab', 'linkedin': 'https://www.linkedin.com/company/56452816'}",3135338-6,https://www.finder.fi/search?what=3135338-6&type=company
Dream Broker,https://startup100.net/company/dream-broker,"Dream Broker is a Finnish and European online video software company. We revolutionise communication in a fun, natural and productive way, with video. Our private cloud-based software, Dream Broker Studio, enables every employee to easily create, edit and share online videos. Dream Broker Studio provides our customers the highest level of Cyber Security, Information and Data Security and GDPR+ level compliance.

Dream Broker was founded in Finland in 2007. The turnover of the company is over 10 million euros and it has currently over 150 employees in six European countries. It is one of the fastest-growing companies in Europe with over 1100 loyal business customers. In addition to our headquarters in Helsinki (Finland), we are also located in Turku (Finland), Stockholm (Sweden), Copenhagen (Denmark), Oslo (Norway), Amsterdam (Netherlands), The Hague (Netherlands), Berlin (Germany) and Frankfurt (Germany).

Early on, our goal was to become a significant international player in the digital online video software market by 2015. Today, we are the market leader in the Nordics, with a focus on rapid global expansion via Central and Western Europe.",2007,SaaS/Business Software,Espoo,http://dreambroker.com/,"{'twitter': 'https://twitter.com/DreamBrokerLtd', 'facebook': 'https://facebook.com/DreamBrokerLtd', 'linkedin': 'http://www.linkedin.com/company/dream-broker-oy', 'youtube': 'https://www.youtube.com/user/DreamBrokerLtd'}",,
Dreamloop Games,https://startup100.net/company/dreamloop-games,"Dreamloop is an independent game dev studio from Tampere, Finland. Our fun-loving crew has a mission to create rock-solid games that are fun to play, aesthetically polished, and challenging.

We have extensive experience porting Unity 3D and Unreal Engine 4 games from PC to consoles and deftly navigate console-specific certification processes. In addition to bringing our own title ""Stardust Galaxy Warriors"" from PC to Playstation 4, Xbox One, and Nintendo Switch, we have a strong track record of helping developers and publishers successfully launch titles across all major consoles.

We offer a full art pipeline from concept design to finished game- or marketing/community-ready assets. We're well-equipped to create full assets from scratch or step in as a part of a pre-existing pipeline.

Our audio team has extensive experience in producing and implementing game audio, as well as in composing music. Our critically acclaimed own-IP title Stardust Galaxy Warriors features a full-length album-quality soundtrack.

Dreamloop Games is a proud member of Remote Control Productions, Europe's largest game development family.",2015,Gaming,Tampere,https://dreamloop.net/,"{'twitter': 'https://www.twitter.com/dreamloopgames/', 'facebook': 'https://www.facebook.com/dreamloopgames'}",2702944-4,https://www.finder.fi/search?what=2702944-4&type=company
Dribla,https://startup100.net/company/dribla,,2023,"Wellness, Fitness & Sports",Mikkeli,https://www.dribla.fi/en/?srsltid=AfmBOooJyQepeGo4pdIh80l1B-Zvyy1HEyNR61XI_RjnBN-rag83Myox,{},3390947-2,https://www.finder.fi/search?what=3390947-2&type=company
Droppe,https://startup100.net/company/droppe,"Droppe helps businesses spend less, order faster, and sleep better with control.

Droppe redefines how businesses find and manage supplies that the world relies on. Until now, B2B distribution has remained one of the only industries that software has not touched.

Droppe is a source-to-order platform that transforms the sourcing and ordering of packaging, paper, and operating supplies. We enable businesses to automate sourcing for their requirements and manage orders via tailored product catalogs, ensuring efficient and healthy operations.

Today, Droppe has helped over 1,500 businesses upgrade outdated sourcing and procurement practices to automated sourcing, smart catalogs, and coordinated supply needs across organizations.

Our source-to-order platform integrates with ERP and procurement solutions, simplifying and adding flexibility to category management and order handling.",2020,"SaaS/AdTech, MarTech, E-commerce",Helsinki,https://droppe.fi/en/,"{'twitter': 'https://www.twitter.com/droppehq', 'facebook': 'https://www.facebook.com/droppehq', 'linkedin': 'https://www.linkedin.com/company/42904074'}",3130765-4,https://www.finder.fi/search?what=3130765-4&type=company
Druid.ai,https://startup100.net/company/druidai,,2021,"SaaS/AdTech, MarTech, E-commerce",Helsinki,https://www.druid.ai/,{},3189180-3,https://www.finder.fi/search?what=3189180-3&type=company
